sharpness,luminance,information,corfulnessss,class
0.24,0.8281,5.0308,36.21,bright
0.0414,0.8508,5.0358,49.8714,bright
0.0508,0.9281,3.5166,28.6408,bright
0.0688,0.9119,4.1549,29.1542,bright
0.1378,0.9474,3.6453,22.592,bright
0.1563,0.9395,3.6932,28.4191,bright
0.0337,0.9591,2.4477,2.177,bright
0.0511,0.9491,3.2167,13.759,bright
0.2126,0.4788,4.8075,21.9357,bright
0.1506,0.8978,4.3241,16.1056,bright
0.2153,0.899,4.0557,18.8613,bright
0.2169,0.9374,4.1375,35.3192,bright
0.2069,0.9071,4.2826,18.4036,bright
0.2494,0.914,4.0393,21.9394,bright
0.1248,0.9255,3.6847,15.562,bright
0.2052,0.9225,3.9045,17.0768,bright
0.2035,0.9185,3.8991,21.7728,bright
0.2136,0.9147,4.1032,19.4613,bright
0.1844,0.9197,4.1053,17.6443,bright
0.1658,0.9025,4.606,21.7012,bright
0.6781,0.8921,4.3731,11.8181,bright
0.7095,0.933,3.7708,14.532,bright
0.6102,0.9005,4.281,16.5785,bright
0.1733,0.968,2.4398,5.5738,bright
0.2364,0.9665,2.309,5.1212,bright
0.1825,0.9703,2.5938,5.4976,bright
0.164,0.8947,4.3663,21.968,bright
0.1546,0.8912,4.4164,21.8687,bright
0.1489,0.8986,4.2965,26.0574,bright
0.2234,0.8433,4.4301,6.338,bright
0.2441,0.8477,3.5684,11.1724,bright
0.2322,0.9068,4.3419,59.191,bright
0.173,0.9092,4.289,54.0788,bright
0.2711,0.9171,4.0475,60.0133,bright
0.4697,0.9348,3.7452,4.385,bright
0.1245,0.8004,4.9481,21.2737,bright
0.1687,0.8874,3.8741,16.7581,bright
0.1496,0.9136,3.8892,15.7266,bright
0.1696,0.8726,3.9507,16.455,bright
0.1559,0.8989,4.2094,15.1022,bright
0.1584,0.9118,4.1176,16.5709,bright
0.179,0.9257,3.8558,14.1866,bright
0.1267,0.9709,3.0041,8.9644,bright
0.1269,0.9722,2.4569,14.1848,bright
0.1205,0.9558,2.3319,30.1071,bright
0.091,0.8249,4.9776,12.1201,bright
0.0679,0.9529,3.7125,44.7727,bright
0.2563,0.9296,3.9138,26.9643,bright
0.2656,0.9383,3.8504,22.7999,bright
0.2173,0.9421,3.7944,16.147,bright
0.1749,0.9279,4.1561,19.8615,bright
0.1256,0.8994,4.1326,18.3721,bright
0.1609,0.9272,4.1012,18.3618,bright
0.1613,0.9251,4.1302,18.3794,bright
0.171,0.8827,4.1233,15.5247,bright
0.1498,0.895,4.3147,17.3239,bright
0.0455,0.4975,5.1765,7.0219,bright
0.0485,0.4988,5.1606,7.3532,bright
0.056,0.5005,5.1712,7.2246,bright
0.0558,0.5197,5.0097,5.4913,bright
0.044,0.5173,5.0185,5.9845,bright
0.2451,0.4705,5.0109,12.7008,bright
0.0825,0.4719,5.2836,17.289,bright
0.0336,0.4792,5.3572,18.8109,bright
0.0168,0.4726,5.324,15.9221,bright
0.0216,0.4796,5.3855,17.3223,bright
0.0378,0.1402,4.67,13.1934,dark
0.0627,0.1445,4.5125,15.0965,dark
0.0431,0.1483,4.6416,16.8879,dark
0.0511,0.1445,4.729,18.7133,dark
0.0574,0.1447,4.6475,13.8469,dark
0.0526,0.1332,4.6435,17.5545,dark
0.1664,0.1489,4.2569,3.8248,dark
0.147,0.1448,4.2073,2.4806,dark
0.0943,0.1487,4.3421,3.904,dark
0.0762,0.1414,4.9482,6.8243,dark
0.0466,0.1459,4.9366,6.7369,dark
0.3021,0.1203,4.4733,6.6819,dark
0.3058,0.1224,4.5224,6.8218,dark
0.1716,0.1268,4.8147,21.6109,dark
0.0784,0.1335,4.5908,21.4893,dark
0.0577,0.1276,4.0139,23.7423,dark
0.0738,0.1349,4.3681,24.2582,dark
0.117,0.179,4.1502,9.769,dark
0.116,0.1759,4.0421,11.3637,dark
0.3745,0.1697,4.3539,11.6662,dark
0.7038,0.1454,4.3005,7.3926,dark
0.5522,0.1304,3.7995,16.5328,dark
0.5304,0.13,3.6743,14.5741,dark
0.5957,0.1413,4.2944,3.4826,dark
0.5194,0.1447,4.3691,3.7287,dark
0.3833,0.1475,4.3395,4.2562,dark
0.265,0.1491,4.151,10.5315,dark
0.4667,0.1216,4.5477,9.8177,dark
0.517,0.1424,4.6484,5.5237,dark
0.2403,0.1518,4.6429,10.4143,dark
0.3986,0.126,4.477,10.0348,dark
0.2797,0.1293,4.3349,8.8826,dark
0.2725,0.1491,4.1338,3.0142,dark
0.4237,0.1526,4.3467,3.9313,dark
0.3748,0.1741,4.5031,4.1164,dark
